sentence	label
to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit . 	0
joy to watch , even when her material is not first-rate 	1
a golden book sprung to life 	1
an unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode 	0
again ransacks its archives for a quick-buck sequel . 	0
shows off a lot of stamina and vitality , 	1
one of the most high-concept sci fi adventures attempted for the screen 	1
ultimately comes off as insultingly simplistic 	0
's because there 's no discernible feeling beneath the chest hair 	0
love and power 	1
if i want a real movie 	0
offbeat humor , amusing characters , and 	1
is both a snore and utter tripe 	0
elaborate special effects 	0
just more of the same 	0
, the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time . 	0
a deft 	1
of people who sadly are at hostile odds with one another through recklessness and retaliation 	0
is sadly heightened by current world events 	1
brother hoffman 's script stumbles over a late-inning twist that just does n't make sense 	0
can be as intelligent as this one is in every regard except its storyline 	1
into an excruciating film 	0
to deliver a fair bit of vampire fun 	0
loud and offensive , but more often 	0
yet why it fails is a riddle wrapped in a mystery inside an enigma . 	0
aims to present an unflinching look at one man 's downfall , brought about by his lack of self-awareness 	0
, resonant gem 	1
surprisingly engrossing 	1
incompetent cops 	0
pretty moments 	0
taken seriously 	0
honestly address the flaws inherent in how medical aid is made available to american workers 	1
enough moments to keep it entertaining 	1
there are lulls 	0
is the only winner 	1
is so different from the apple and so striking 	0
's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . 	1
just consider what new best friend does not have , beginning with the minor omission of a screenplay . 	0
the secret 's eventual discovery 	1
buried somewhere inside its fabric , but never clearly seen or felt 	0
tired , unnecessary 	0
strange and wonderful creatures 	0
sundance festival 	1
absorbing and unsettling psychological drama 	0
've seen a movie instead of an endless trailer 	1
this ` we 're - doing-it-for - the-cash ' sequel 	0
in this tepid genre offering 	0
when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given 	0
poor editing , bad bluescreen , and ultra-cheesy dialogue 	0
in theory , a middle-aged romance pairing clayburgh and tambor sounds promising 	1
uneven performances and 	0
heartwarming without stooping to gooeyness 	1
no better or worse than ` truth or consequences , n.m. ' or any other interchangeable actioner with imbecilic mafia toolbags botching a routine assignment in a western backwater . 	0
'd expect to see on showtime 's ` red shoe diaries 	1
solid performances and 	1
lots of hollywood fluff 	0
like the rugrats movies , the wild thornberrys movie does n't offer much more than the series , but 	0
this movie is about an adult male dressed in pink jammies 	0
play out realistically if not always fairly 	1
suffers from all the excesses 	1
as delightful 	1
flawed support structure 	0
the junk-calorie suspense tropes 	0
the sentimental cliches 	0
is a subzero version of monsters , inc. , without the latter 's imagination , visual charm or texture 	0
while it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own . 	1
-- farts , boobs , unmentionables -- 	0
in its effort to modernize it with encomia to diversity and tolerance 	0
wonder of wonders -- a teen movie with a humanistic message 	1
the enjoyable undercover brother 	1
, margarita happy hour represents an auspicious feature debut for chaiken . 	1
comes off winningly , 	0
informative 	1
has a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the coen brothers and steven soderbergh 	1
does display an original talent 	1
deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated . 	1
sayles ... once again strands his superb performers in the same old story . 	0
wannabe film 	0
trying to cope with the mysterious and brutal nature of adults 	1
that hong kong action cinema is still alive and kicking 	1
deem it necessary to document all this emotional misery 	0
the ` ick ' in ` classic 	0
treasure and 	1
more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh 's solaris is a gorgeous and deceptively minimalist cinematic tone poem . 	1
a comic fan 	1
is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises 	0
cannon 's confidence 	1
